Tiempo_Busqueda,Sexo,Edad,Nivel_Educativo,Jefe_Hogar,Estado_Civil,Estrato,Canal_Busqueda,Ingreso_No_Laboral,Ocupados
1.0,0,1,2.0,1,4.0,1,1.0,2.0,1
36.0,1,3,3.0,0,2.0,1,1.0,2.0,1
2.0,1,3,3.0,0,4.0,1,1.0,2.0,1
50.0,0,1,3.0,0,4.0,1,1.0,2.0,1
12.0,1,1,2.0,1,6.0,1,2.0,2.0,1
3.0,0,2,2.0,1,4.0,1,1.0,2.0,1
3.0,0,3,2.0,0,4.0,1,1.0,2.0,1
4.0,1,2,2.0,1,2.0,1,1.0,2.0,1
6.0,0,2,2.0,0,2.0,1,1.0,2.0,1
156.0,0,1,2.0,0,2.0,1,1.0,2.0,1
2.0,0,1,2.0,1,5.0,1,1.0,2.0,1
20.0,0,1,3.0,0,6.0,1,1.0,2.0,1
52.0,0,2,2.0,0,2.0,1,2.0,2.0,1
14.0,1,1,2.0,1,2.0,1,2.0,2.0,1
15.0,0,1,3.0,0,2.0,1,2.0,2.0,1
8.0,0,1,2.0,0,4.0,1,1.0,2.0,1
52.0,0,3,2.0,0,2.0,1,2.0,2.0,1
4.0,0,3,3.0,0,4.0,1,2.0,2.0,1
43.0,1,3,3.0,1,6.0,1,1.0,2.0,1
4.0,1,1,2.0,0,6.0,1,2.0,1.0,1
24.0,0,2,2.0,0,6.0,1,1.0,2.0,1
4.0,0,3,2.0,0,2.0,1,3.0,2.0,1
40.0,1,2,2.0,1,6.0,1,1.0,1.0,1
40.0,0,2,2.0,1,2.0,1,1.0,2.0,1
5.0,0,2,3.0,1,4.0,1,2.0,2.0,1
8.0,1,1,2.0,0,6.0,1,3.0,1.0,1
104.0,0,2,2.0,1,6.0,1,3.0,2.0,1
16.0,0,1,2.0,0,6.0,1,3.0,2.0,1
10.0,1,1,3.0,0,6.0,1,2.0,1.0,1
36.0,0,1,2.0,1,4.0,1,1.0,2.0,1
24.0,0,1,2.0,0,4.0,1,2.0,2.0,1
12.0,1,1,2.0,0,6.0,3,1.0,2.0,1
16.0,0,2,2.0,0,4.0,1,1.0,2.0,1
8.0,0,1,3.0,1,6.0,1,2.0,2.0,1
10.0,0,1,2.0,0,4.0,1,1.0,2.0,1
32.0,0,3,4.0,1,3.0,2,2.0,2.0,1
35.0,1,1,3.0,1,6.0,1,2.0,2.0,1
24.0,0,1,2.0,0,4.0,1,2.0,2.0,1
16.0,0,2,3.0,1,6.0,1,2.0,2.0,1
156.0,1,2,2.0,1,6.0,1,2.0,2.0,1
42.0,0,3,2.0,0,5.0,1,1.0,2.0,1
32.0,0,2,2.0,0,6.0,1,1.0,2.0,1
24.0,0,1,2.0,0,6.0,1,1.0,2.0,1
156.0,0,1,2.0,0,1.0,1,1.0,2.0,1
16.0,0,2,1.0,0,2.0,1,1.0,2.0,1
3.0,0,1,2.0,1,4.0,3,1.0,2.0,1
8.0,1,1,2.0,0,6.0,1,2.0,1.0,1
