Tiempo_Busqueda,Ingreso_No_Laboral,Ocupados,Sexo_1,Edad_2,Edad_3,Edad_4,Nivel_Educativo_2.0,Nivel_Educativo_3.0,Nivel_Educativo_4.0,Jefe_Hogar_1,Estado_Civil_2.0,Estado_Civil_3.0,Estado_Civil_4.0,Estado_Civil_5.0,Estado_Civil_6.0,Estrato_2,Estrato_3,Canal_Busqueda_2.0,Canal_Busqueda_3.0
104.0,2.0,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
5.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
4.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
16.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
8.0,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False
20.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
52.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
8.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
52.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.0,2.0,1,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
48.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
32.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,1.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
52.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
12.0,2.0,1,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
100.0,2.0,1,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
8.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False
48.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
20.0,2.0,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False
4.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
4.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.0,1.0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
4.0,2.0,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
5.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
